customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,monthly_ratio,revenue_risk
5365,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,0,0.9675850891410048,0.0
3953,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,2,0.0301243057392224,0.0
2558,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,0,0.4933577645442052,646.2
5524,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,2,0.0229672865481199,0.0
6500,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,0,0.4631509990173599,848.4000000000001
6540,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,0,0.1213024954351795,1195.8000000000002
1001,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,1,0.04568293683347,0.0
4760,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,0,0.0982172334103664,0.0
5593,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,2,0.0343939219901215,1257.6
4524,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,3,0.0160936671491422,0.0
6860,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,1,0.0848840173336732,0.0
5278,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,1,0.0578096400244051,0.0
5740,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,3,0.0176607240280882,0.0
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,3,0.0205864252675044,1244.4
3606,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,2,0.0392623881208016,0.0
2550,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,3,0.0143424327045458,0.0
5809,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,3,0.0201670003418135,0.0
7008,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,3,0.0144516303795753,0.0
2930,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,0,0.1042788325304618,662.4000000000001
2921,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,1,0.0483126777187617,1080.6
6196,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,0,0.97539975399754,475.79999999999995
